MatchName,StrikerName,BatClubName,Inns,overs,x,y,X,Y,BatRuns,batwkts,BattingType,PaceOrSpin,1s,2s,3s,4s,6s,BowlerType,WagonWheel,0s
AusvsNZ,Glenn Phillips,New Zealand,1,14.3,301,354,172,609,1,0,RHB,2,1,0,0,0,0,5,19,
AusvsNZ,Kane Williamson,New Zealand,1,14.4,281,381,139,398,1,0,RHB,2,1,0,0,0,0,5,1,
AusvsNZ,Glenn Phillips,New Zealand,1,14.5,255,374,99,412,4,0,RHB,2,0,0,0,1,0,5,23,
AusvsNZ,Glenn Phillips,New Zealand,1,14.6,305,334,175,623,0,0,RHB,2,0,0,0,0,0,5,21,1
AusvsNZ,Kane Williamson,New Zealand,1,15.1,264,373,117,412,4,0,RHB,1,0,0,0,1,0,2,15,
AusvsNZ,Kane Williamson,New Zealand,1,15.2,295,377,180,569,4,0,RHB,1,0,0,0,1,0,2,8,
AusvsNZ,Kane Williamson,New Zealand,1,15.3,295,360,185,480,6,0,RHB,1,0,0,0,0,1,2,20,
AusvsNZ,Kane Williamson,New Zealand,1,15.4,205,383,89,222,0,0,RHB,1,0,0,0,0,0,2,20,1
AusvsNZ,Kane Williamson,New Zealand,1,15.5,243,364,91,630,4,0,RHB,1,0,0,0,1,0,2,1,
AusvsNZ,Kane Williamson,New Zealand,1,15.6,259,319,80,759,4,0,RHB,1,0,0,0,1,0,2,3,
AusvsNZ,Glenn Phillips,New Zealand,1,16.1,189,322,59,789,0,0,RHB,1,0,0,0,0,0,1,19,1
AusvsNZ,Glenn Phillips,New Zealand,1,16.1,250,317,85,834,1,0,RHB,1,1,0,0,0,0,1,1,
AusvsNZ,Kane Williamson,New Zealand,1,16.2,225,325,88,800,1,0,RHB,1,1,0,0,0,0,1,15,
AusvsNZ,Glenn Phillips,New Zealand,1,16.3,275,256,104,1100,1,0,RHB,1,1,0,0,0,0,1,8,
AusvsNZ,Kane Williamson,New Zealand,1,16.4,189,350,56,676,1,0,RHB,1,1,0,0,0,0,1,22,
AusvsNZ,Glenn Phillips,New Zealand,1,16.5,310,250,127,1126,1,0,RHB,1,1,0,0,0,0,1,23,
